                                                                            ROUGE      BLEU    METEOR  BERTScore  relevance      FKGL      DCRS       CLI      LENS  readability  AlignScore    SummaC  factuality     score
finetuned_elife_validation_fulltext                                      0.954533  0.926360  0.816692   0.988720   0.921576  0.933407  0.880991  0.938693  0.986836     0.934982    0.334129  0.430338    0.382233  0.746264
finetuned_elife_validation_BioBERT_40_epoch_2                            0.921531  0.887060  0.778660   0.915513   0.875691  0.968620  0.918938  0.958650  0.984068     0.957569    0.334523  0.387960    0.361242  0.731501
finetuned_elife_validation_BioBERT_40_epoch_1                            0.924262  0.902219  0.828799   0.874156   0.882359  0.926297  0.953637  0.925862  0.937463     0.935815    0.372651  0.351384    0.362017  0.726730
finetuned_elife_validation_BioBERT_20_epoch_1                            0.881162  0.855616  0.775777   0.812434   0.831247  0.952767  0.983448  0.975577  0.948568     0.965090    0.366676  0.338287    0.352482  0.716273
finetuned_elife_validation_BioBERT_30_epoch_1                            0.890938  0.846790  0.768804   0.835992   0.835631  0.941237  0.971447  0.955749  0.943720     0.953038    0.353718  0.324211    0.338964  0.709211
_dola                                                                    0.991542  1.000000  0.941113   0.997825   0.982620  0.950629  0.144329  0.945400  0.974916     0.753818    0.380876  0.390328    0.385602  0.707347
_greedy                                                                  1.000000  0.988877  0.942546   1.000000   0.982856  0.942431  0.149194  0.936056  0.980119     0.751950    0.376431  0.382853    0.379642  0.704816
finetuned_elife_validation_BioBERT_30_epoch_2                            0.886746  0.776448  0.688461   0.877022   0.807169  0.961846  0.921084  0.966566  0.993090     0.960647    0.311645  0.375748    0.343696  0.703837
finetuned_elife_validation_BioBERT_20_epoch_2                            0.884899  0.787866  0.700865   0.874717   0.812086  0.964729  0.921826  0.974402  0.988094     0.962263    0.297921  0.368170    0.333046  0.702465
finetuned_elife_validation_BioBERT_10_epoch_1                            0.821807  0.768449  0.737403   0.724283   0.762985  0.935472  1.000000  0.954500  0.914779     0.951188    0.336473  0.321761    0.329117  0.681097
finetuned_elife_validation_fulltext_post                                 0.949373  0.901741  0.794793   0.976900   0.905702  0.930915  0.127826  0.937271  0.994332     0.747586    0.336774  0.427114    0.381944  0.678411
finetuned_40_elife_validation_BioBERT                                    0.922108  0.904455  0.817387   0.884234   0.882046  0.977164  0.160184  0.976255  0.973965     0.771892    0.339526  0.392470    0.365998  0.673312
finetuned_elife_validation_BioBERT_10_epoch_2                            0.847507  0.719329  0.636207   0.817443   0.755121  0.930380  0.920387  0.948856  0.974415     0.943509    0.274125  0.332456    0.303291  0.667307
finetuned_40_concat_abstract_elife_validation_BioBERT                    0.935828  0.920108  0.903999   0.866942   0.906719  0.974099  0.188300  0.969592  0.958914     0.772726    0.339658  0.299158    0.319408  0.666284
finetuned_30_concat_abstract_elife_validation_BioBERT                    0.924109  0.880178  0.868492   0.855556   0.882084  0.988868  0.189832  0.967225  0.962630     0.777139    0.343596  0.312634    0.328115  0.662446
finetuned_20_concat_abstract_elife_validation_BioBERT                    0.925125  0.874386  0.876431   0.875732   0.887918  0.969149  0.180556  0.954984  0.972612     0.769326    0.316104  0.313709    0.314907  0.657384
finetuned_10_concat_abstract_elife_validation_BioBERT                    0.922497  0.866769  0.850152   0.851613   0.872758  0.977869  0.168859  0.964876  0.979251     0.772714    0.314682  0.302661    0.308672  0.651381
